stage	va	len	changed	name	before	after	expect	patch	cave	note
2	0x0049BC8C	6	1	terrain.modchain@0049BC8C	lea ecx, [eax - 0x93000]	lea ecx, [eax - 0x11f000]	8D8800D0F6FF	8D880010EEFF		0x49BC20: mod-reduce a scratch offset by 2*size (negative lea displacement)
2	0x0049BC98	6	1	terrain.modchain@0049BC98	lea ecx, [eax - 0x49800]	lea ecx, [eax - 0x8f800]	8D880068FBFF	8D880008F7FF		0x49BC20: mod-reduce a scratch offset by 1*size (negative lea displacement)
2	0x0049BD7B	6	1	terrain.modchain@0049BD7B	lea edx, [eax - 0x498000]	lea edx, [eax - 0x8f8000]	8D900080B6FF	8D90008070FF		0x49BD40: mod-reduce a scratch offset by 16*size (negative lea displacement)
2	0x0049BD87	6	1	terrain.modchain@0049BD87	lea edx, [eax - 0x24c000]	lea edx, [eax - 0x47c000]	8D900040DBFF	8D900040B8FF		0x49BD40: mod-reduce a scratch offset by 8*size (negative lea displacement)
2	0x0049BD93	6	1	terrain.modchain@0049BD93	lea edx, [eax - 0x126000]	lea edx, [eax - 0x23e000]	8D9000A0EDFF	8D900020DCFF		0x49BD40: mod-reduce a scratch offset by 4*size (negative lea displacement)
2	0x0049BD9F	6	1	terrain.modchain@0049BD9F	lea edx, [eax - 0x93000]	lea edx, [eax - 0x11f000]	8D9000D0F6FF	8D900010EEFF		0x49BD40: mod-reduce a scratch offset by 2*size (negative lea displacement)
2	0x0049BDAB	6	1	terrain.modchain@0049BDAB	lea edx, [eax - 0x49800]	lea edx, [eax - 0x8f800]	8D900068FBFF	8D900008F7FF		0x49BD40: mod-reduce a scratch offset by 1*size (negative lea displacement)
2	0x0049BE39	6	1	terrain.modchain@0049BE39	lea eax, [edi - 0x498000]	lea eax, [edi - 0x8f8000]	8D870080B6FF	8D87008070FF		0x49BE20: mod-reduce a scratch offset by 16*size (negative lea displacement)
2	0x0049BE45	6	1	terrain.modchain@0049BE45	lea eax, [edi - 0x24c000]	lea eax, [edi - 0x47c000]	8D870040DBFF	8D870040B8FF		0x49BE20: mod-reduce a scratch offset by 8*size (negative lea displacement)
2	0x0049BE51	6	1	terrain.modchain@0049BE51	lea eax, [edi - 0x126000]	lea eax, [edi - 0x23e000]	8D8700A0EDFF	8D870020DCFF		0x49BE20: mod-reduce a scratch offset by 4*size (negative lea displacement)
2	0x0049BE5D	6	1	terrain.modchain@0049BE5D	lea eax, [edi - 0x93000]	lea eax, [edi - 0x11f000]	8D8700D0F6FF	8D870010EEFF		0x49BE20: mod-reduce a scratch offset by 2*size (negative lea displacement)
2	0x0049BE69	6	1	terrain.modchain@0049BE69	lea eax, [edi - 0x49800]	lea eax, [edi - 0x8f800]	8D870068FBFF	8D870008F7FF		0x49BE20: mod-reduce a scratch offset by 1*size (negative lea displacement)
2	0x0049C7D1	6	1	terrain.modchain@0049C7D1	lea ecx, [eax - 0x498000]	lea ecx, [eax - 0x8f8000]	8D880080B6FF	8D88008070FF		0x49C780: mod-reduce a scratch offset by 16*size (negative lea displacement)
2	0x0049C7DD	6	1	terrain.modchain@0049C7DD	lea ecx, [eax - 0x24c000]	lea ecx, [eax - 0x47c000]	8D880040DBFF	8D880040B8FF		0x49C780: mod-reduce a scratch offset by 8*size (negative lea displacement)
2	0x0049C7E9	6	1	terrain.modchain@0049C7E9	lea ecx, [eax - 0x126000]	lea ecx, [eax - 0x23e000]	8D8800A0EDFF	8D880020DCFF		0x49C780: mod-reduce a scratch offset by 4*size (negative lea displacement)
2	0x0049C7F5	6	1	terrain.modchain@0049C7F5	lea ecx, [eax - 0x93000]	lea ecx, [eax - 0x11f000]	8D8800D0F6FF	8D880010EEFF		0x49C780: mod-reduce a scratch offset by 2*size (negative lea displacement)
2	0x0049C801	6	1	terrain.modchain@0049C801	lea ecx, [eax - 0x49800]	lea ecx, [eax - 0x8f800]	8D880068FBFF	8D880008F7FF		0x49C780: mod-reduce a scratch offset by 1*size (negative lea displacement)
2	0x0049BCD7	6	1	terrain.colwrap@0049BCD7	lea eax, [edi - 0x49800]	lea eax, [edi - 0x8f800]	8D870068FBFF	8D870008F7FF		0x49BC20: wrap after a 32-byte column step
2	0x0049BE9C	6	1	terrain.colwrap@0049BE9C	lea eax, [edi - 0x49800]	lea eax, [edi - 0x8f800]	8D870068FBFF	8D870008F7FF		0x49BE20: wrap after a 32-byte column step
2	0x0049BCFC	6	1	terrain.tilerow@0049BCFC	add ecx, 0x5400	add ecx, 0xa400	81C100540000	81C100A40000		0x49BC20: advance one 32px tile row of the scratch surface
2	0x0049BE04	5	1	terrain.tilerow@0049BE04	add eax, 0x5400	add eax, 0xa400	0500540000	0500A40000		0x49BD40: advance one 32px tile row of the scratch surface
2	0x0049C839	5	1	terrain.tilerow@0049C839	add eax, 0x5400	add eax, 0xa400	0500540000	0500A40000		0x49C780: advance one 32px tile row of the scratch surface
2	0x0049BD05	6	1	terrain.rowwrap.49BC20	add ecx, 0xfffb6800	add ecx, 0xfff70800	81C10068FBFF	81C10008F7FF		0x49BC20: wrap after the tile-row step (add of -size)
2	0x0049BDF2	6	1	terrain.lastrow@0049BDF2	cmp edi, 0x44400	cmp edi, 0x85400	81FF00440400	81FF00540800		0x49BD40: is this the last tile row (start of row 13)
2	0x0049C82A	6	1	terrain.lastrow@0049C82A	cmp esi, 0x44400	cmp esi, 0x85400	81FE00440400	81FE00540800		0x49C780: is this the last tile row (start of row 13)
2	0x0049BDFF	5	1	terrain.wrapmask@0049BDFF	and eax, 0xfffb6800	and eax, 0xfff70800	250068FBFF	250008F7FF		0x49BD40: -size as an AND mask (branchless conditional wrap)
2	0x0049C74B	6	1	terrain.wrapmask@0049C74B	and edx, 0xfffb6800	and edx, 0xfff70800	81E20068FBFF	81E20008F7FF		0x49C620: -size as an AND mask (branchless conditional wrap)
2	0x0049C834	5	1	terrain.wrapmask@0049C834	and eax, 0xfffb6800	and eax, 0xfff70800	250068FBFF	250008F7FF		0x49C780: -size as an AND mask (branchless conditional wrap)
2	0x0049C73F	5	1	terrain.endcol.49C620	cmp eax, 0x497e0	cmp eax, 0x8f7e0	3DE0970400	3DE0F70800		0x49C620: size minus one 32-byte tile column (column-step wrap test)
2	0x0049BA45	6	1	terrain.mt.r1c0	lea edx, [edi + 0x1500]	lea edx, [edi + 0x2900]	8D9700150000	8D9700290000		0x49B9F0 (per-megatile writer): minitile row 1 col 0 of the unrolled 4x4
2	0x0049BA57	6	1	terrain.mt.r1c1	lea edx, [edi + 0x1508]	lea edx, [edi + 0x2908]	8D9708150000	8D9708290000		0x49B9F0 (per-megatile writer): minitile row 1 col 1 of the unrolled 4x4
2	0x0049BA69	6	1	terrain.mt.r1c2	lea edx, [edi + 0x1510]	lea edx, [edi + 0x2910]	8D9710150000	8D9710290000		0x49B9F0 (per-megatile writer): minitile row 1 col 2 of the unrolled 4x4
2	0x0049BA7B	6	1	terrain.mt.r1c3	lea edx, [edi + 0x1518]	lea edx, [edi + 0x2918]	8D9718150000	8D9718290000		0x49B9F0 (per-megatile writer): minitile row 1 col 3 of the unrolled 4x4
2	0x0049BA8D	6	1	terrain.mt.r2c0	lea edx, [edi + 0x2a00]	lea edx, [edi + 0x5200]	8D97002A0000	8D9700520000		0x49B9F0 (per-megatile writer): minitile row 2 col 0 of the unrolled 4x4
2	0x0049BA9F	6	1	terrain.mt.r2c1	lea edx, [edi + 0x2a08]	lea edx, [edi + 0x5208]	8D97082A0000	8D9708520000		0x49B9F0 (per-megatile writer): minitile row 2 col 1 of the unrolled 4x4
2	0x0049BAB1	6	1	terrain.mt.r2c2	lea edx, [edi + 0x2a10]	lea edx, [edi + 0x5210]	8D97102A0000	8D9710520000		0x49B9F0 (per-megatile writer): minitile row 2 col 2 of the unrolled 4x4
2	0x0049BAC3	6	1	terrain.mt.r2c3	lea edx, [edi + 0x2a18]	lea edx, [edi + 0x5218]	8D97182A0000	8D9718520000		0x49B9F0 (per-megatile writer): minitile row 2 col 3 of the unrolled 4x4
2	0x0049BAD5	6	1	terrain.mt.r3c0	lea edx, [edi + 0x3f00]	lea edx, [edi + 0x7b00]	8D97003F0000	8D97007B0000		0x49B9F0 (per-megatile writer): minitile row 3 col 0 of the unrolled 4x4
2	0x0049BAE7	6	1	terrain.mt.r3c1	lea edx, [edi + 0x3f08]	lea edx, [edi + 0x7b08]	8D97083F0000	8D97087B0000		0x49B9F0 (per-megatile writer): minitile row 3 col 1 of the unrolled 4x4
2	0x0049BAF9	6	1	terrain.mt.r3c2	lea edx, [edi + 0x3f10]	lea edx, [edi + 0x7b10]	8D97103F0000	8D97107B0000		0x49B9F0 (per-megatile writer): minitile row 3 col 2 of the unrolled 4x4
2	0x0049BB08	6	1	terrain.mt.r3c3	lea edx, [edi + 0x3f18]	lea edx, [edi + 0x7b18]	8D97183F0000	8D97187B0000		0x49B9F0 (per-megatile writer): minitile row 3 col 3 of the unrolled 4x4
2	0x0049B958	3	1	terrain.tilecols@0049B958	cmp esi, 0x15	cmp esi, 0x29	83FE15	83FE29		0x49B8D0 (clamp helper): clamp request width to the cache
2	0x0049B95D	5	1	terrain.tilecols@0049B95D	mov esi, 0x15	mov esi, 0x29	BE15000000	BE29000000		0x49B8D0: clamped request width
2	0x0049B99D	3	1	terrain.tilecols@0049B99D	cmp edx, 0x15	cmp edx, 0x29	83FA15	83FA29		0x49B8D0: reject a request starting right of the cache
2	0x0049BE80	7	1	terrain.tilecols@0049BE80	mov dword ptr [ebp + 8], 0x15	mov dword ptr [ebp + 8], 0x29	C7450815000000	C7450829000000		0x49BE20 (row refresh): columns of an off-map row
2	0x0049BEC4	3	1	terrain.tilecols@0049BEC4	cmp eax, 0x15	cmp eax, 0x29	83F815	83F829		0x49BE20: clamp an in-map row's columns (compare)
2	0x0049BEC9	5	1	terrain.tilecols@0049BEC9	mov eax, 0x15	mov eax, 0x29	B815000000	B829000000		0x49BE20: clamp an in-map row's columns (value)
2	0x0049C15C	3	1	terrain.tilecols@0049C15C	add eax, 0x15	add eax, 0x29	83C015	83C029		0x49C0C0 (x stepper): the incoming column on a right scroll is leftmost + cache width
2	0x0049C545	3	1	terrain.tilecols@0049C545	cmp ebx, 0x15	cmp ebx, 0x29	83FB15	83FB29		0x49C4C0 (whole-map tile updater): is this tile inside the cached window
2	0x0049C64E	3	1	terrain.tilecols@0049C64E	cmp eax, 0x15	cmp eax, 0x29	83F815	83F829		0x49C620 (per-frame row updater): clamp columns (compare)
2	0x0049C656	5	1	terrain.tilecols@0049C656	mov eax, 0x15	mov eax, 0x29	B815000000	B829000000		0x49C620: clamp columns (value)
2	0x004BD638	5	1	playfield.setrect.right	push 0x27f	push 0x4ff	687F020000	68FF040000		SetRect(&0x005993B0, 0, 0, 639, 399) -- the playfield's clip rect
2	0x004BD675	9	1	playfield.layer.width	mov word ptr [0x6cefba], 0x280	mov word ptr [0x6cefba], 0x500	66C705BAEF6C008002	66C705BAEF6C000005		layer 5's width -- the number the read-back proves
2	0x004D5856	5	1	image.clip.right	mov esi, 0x280	mov esi, 0x500	BE80020000	BE00050000		0x004D57B0: every sprite on screen goes through this
2	0x0045CCB1	6	1	rectclip.reject.x	cmp ecx, 0x280	cmp ecx, 0x500	81F980020000	81F900050000		reject if left >= 640
2	0x0045CCCE	6	1	rectclip.cmp.right	cmp esi, 0x280	cmp esi, 0x500	81FE80020000	81FE00050000		0x0045CC90 right-edge test (new in task 034; not in 032's table)
2	0x0045CCD6	7	1	rectclip.clamp.right	mov dword ptr [eax + 8], 0x280	mov dword ptr [eax + 8], 0x500	C7400880020000	C7400800050000		clamp right to 640
2	0x004808E4	5	1	fog.width@004808E4	push 0x280	push 0x500	6880020000	6800050000		0x004808E0: the full-extent fog draw
2	0x0047EC7B	6	1	fog.width@0047EC7B	cmp esi, 0x280	cmp esi, 0x500	81FE80020000	81FE00050000		scrolled arm
2	0x0047ED97	5	1	fog.width@0047ED97	mov eax, 0x280	mov eax, 0x500	B880020000	B800050000		scrolled arm
2	0x0047EEA0	5	1	fog.width@0047EEA0	cmp eax, 0x280	cmp eax, 0x500	3D80020000	3D00050000		static arm
2	0x0047EEFF	7	1	fog.width@0047EEFF	cmp dword ptr [ebp - 4], 0x280	cmp dword ptr [ebp - 4], 0x500	817DFC80020000	817DFC00050000		static arm
2	0x0047EF0B	5	1	fog.width@0047EF0B	mov ebx, 0x280	mov ebx, 0x500	BB80020000	BB00050000		static arm
2	0x0048090E	5	1	fog.width@0048090E	cmp eax, 0x280	cmp eax, 0x500	3D80020000	3D00050000		clipping helper
2	0x0048092C	5	1	fog.width@0048092C	cmp eax, 0x280	cmp eax, 0x500	3D80020000	3D00050000		clipping helper
2	0x00480948	6	1	fog.width@00480948	cmp edx, 0x280	cmp edx, 0x500	81FA80020000	81FA00050000		clipping helper
2	0x0047EC53	6	1	fog.wrap@0047EC53	cmp esi, 0x288	cmp esi, 0x508	81FE88020000	81FE08050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x0047EC66	6	1	fog.wrap@0047EC66	sub esi, 0x288	sub esi, 0x508	81EE88020000	81EE08050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x0047EC72	6	1	fog.wrap@0047EC72	add esi, 0x288	add esi, 0x508	81C688020000	81C608050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x0047EE83	5	1	fog.wrap@0047EE83	cmp eax, 0x288	cmp eax, 0x508	3D88020000	3D08050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x0047EE8D	5	1	fog.wrap@0047EE8D	sub eax, 0x288	sub eax, 0x508	2D88020000	2D08050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x0047EE98	5	1	fog.wrap@0047EE98	add eax, 0x288	add eax, 0x508	0588020000	0508050000		fog coordinate wrap at (playfield width + 8), inferred from shape
2	0x004809A5	5	1	fogcell.tmap.alloc@004809A5	push 0x198	push 0x2ec	6898010000	68EC020000		SMemAlloc size of one 44-col x 17-row tile visibility map
2	0x004809D0	5	1	fogcell.tmap.alloc@004809D0	push 0x198	push 0x2ec	6898010000	68EC020000		SMemAlloc size of one 44-col x 17-row tile visibility map
2	0x004809F6	5	1	fogcell.tmap.alloc@004809F6	push 0x198	push 0x2ec	6898010000	68EC020000		SMemAlloc size of one 44-col x 17-row tile visibility map
2	0x004809CB	5	1	fogcell.tmap.clear@004809CB	mov ecx, 0x66	mov ecx, 0xbb	B966000000	B9BB000000		rep stosd count clearing that tile map
2	0x004809F1	5	1	fogcell.tmap.clear@004809F1	mov ecx, 0x66	mov ecx, 0xbb	B966000000	B9BB000000		rep stosd count clearing that tile map
2	0x00480A17	5	1	fogcell.tmap.clear@00480A17	mov ecx, 0x66	mov ecx, 0xbb	B966000000	B9BB000000		rep stosd count clearing that tile map
2	0x00480A1C	5	1	fogcell.cells.alloc	push 0x14a0	push 0x2760	68A0140000	6860270000		SMemAlloc size of the 8px cell buffer [0x006D5C18], 168 stride x 60 rows
2	0x00480A30	5	1	fogcell.cells.clear	mov ecx, 0x528	mov ecx, 0x9d8	B928050000	B9D8090000		rep stosd count clearing the cell buffer
2	0x0047FCA6	7	0	fogcell.fill.rows	mov dword ptr [ebp - 0x18], 0x11	mov dword ptr [ebp - 0x18], 0x11	C745E811000000	C745E811000000		tile rows filled from the map visibility array
2	0x0047FCC3	7	1	fogcell.fill.cols	mov dword ptr [ebp - 0x10], 0x18	mov dword ptr [ebp - 0x10], 0x2c	C745F018000000	C745F02C000000		tile cols filled per row (writes the whole stride)
2	0x0047FD80	3	1	fogcell.fill.rowstep	add ecx, 0x18	add ecx, 0x2c	83C118	83C12C		advance the raw map's dest pointer one row (= stride)
2	0x0047FD9B	3	1	fogcell.smooth.base.src	add eax, 0x19	add eax, 0x2d	83C019	83C02D		raw map + stride + 1: start at row 1, col 1
2	0x0047FD9E	3	1	fogcell.smooth.base.dst	add ecx, 0x19	add ecx, 0x2d	83C119	83C12D		smoothed map + stride + 1
2	0x0047FDA1	5	0	fogcell.smooth.rows	mov edi, 0xf	mov edi, 0xf	BF0F000000	BF0F000000		interior tile rows smoothed
2	0x0047FDB0	5	1	fogcell.smooth.cols	mov esi, 0x16	mov esi, 0x2a	BE16000000	BE2A000000		interior tile cols smoothed
2	0x0047FDB5	4	1	fogcell.smooth.k.up	movzx ebx, byte ptr [eax - 0x18]	movzx ebx, byte ptr [eax - 0x2c]	0FB658E8	0FB658D4		3x3 kernel: one row up
2	0x0047FDBF	4	1	fogcell.smooth.k.down	movzx ebx, byte ptr [eax + 0x18]	movzx ebx, byte ptr [eax + 0x2c]	0FB65818	0FB6582C		3x3 kernel: one row down
2	0x0047FDD1	4	1	fogcell.smooth.k.upleft	movzx ebx, byte ptr [eax - 0x19]	movzx ebx, byte ptr [eax - 0x2d]	0FB658E7	0FB658D3		3x3 kernel: up-left
2	0x0047FDD8	4	1	fogcell.smooth.k.downright	movzx ebx, byte ptr [eax + 0x19]	movzx ebx, byte ptr [eax + 0x2d]	0FB65819	0FB6582D		3x3 kernel: down-right
2	0x0047FDDE	4	1	fogcell.smooth.k.upright	movzx ebx, byte ptr [eax - 0x17]	movzx ebx, byte ptr [eax - 0x2b]	0FB658E9	0FB658D5		3x3 kernel: up-right
2	0x0047FDE4	4	1	fogcell.smooth.k.downleft	movzx ebx, byte ptr [eax + 0x17]	movzx ebx, byte ptr [eax + 0x2b]	0FB65817	0FB6582B		3x3 kernel: down-left
2	0x0047FE23	3	1	fogcell.interp.base	add ebx, 0x19	add ebx, 0x2d	83C319	83C32D		smoothed map + stride + 1: read from row 1, col 1
2	0x0047FE2D	7	0	fogcell.interp.rows	mov dword ptr [ebp - 0x14], 0xe	mov dword ptr [ebp - 0x14], 0xe	C745EC0E000000	C745EC0E000000		tile rows interpolated into the cell buffer
2	0x0047FE40	7	1	fogcell.interp.cols	mov dword ptr [ebp - 0x10], 0x15	mov dword ptr [ebp - 0x10], 0x29	C745F015000000	C745F029000000		tile cols interpolated (the playfield-covering band)
2	0x0047FE53	4	1	fogcell.interp.k.down	movzx eax, byte ptr [ebx + 0x18]	movzx eax, byte ptr [ebx + 0x2c]	0FB64318	0FB6432C		bilinear: the tile one row down
2	0x0047FE6B	4	1	fogcell.interp.k.downright	movzx eax, byte ptr [ebx + 0x19]	movzx eax, byte ptr [ebx + 0x2d]	0FB64319	0FB6432D		bilinear: the tile down-right
2	0x0047FEAB	6	1	fogcell.interp.cellrow	add edx, 0x58 ; mov dword ptr [ebp - 4], edx	[cave] add edx, 0xa8 ; mov dword ptr [ebp - 4], edx	83C2588955FC	E90000000090	81C2A80000008955FC	advance the cell dest one 8px row (add edx,stride; the store that follows rides along so the window reaches 5 bytes)
2	0x0047FEC7	6	1	fogcell.interp.colback	sub ecx, 0x15c	sub ecx, 0x29c	81E95C010000	81E99C020000		after 4 sub-rows: back up 4 cell rows, advance one dword of cells
2	0x0047FEE4	6	1	fogcell.interp.rowadv	add ecx, 0x10c	add ecx, 0x1fc	81C10C010000	81C1FC010000		after a tile row: cell dest to the next 4-row band's start
2	0x004804F8	5	1	fogcell.change.xspan	mov ebx, 0x2c0	mov ebx, 0x540	BBC0020000	BB40050000		compared screen span in px: T_SMOOTH tiles of 32
2	0x00480502	5	0	fogcell.change.yspan	mov eax, 0x1e0	mov eax, 0x1e0	B8E0010000	B8E0010000		compared screen span in px, vertical
2	0x00480523	6	1	fogcell.change.xspan.neg	lea ecx, [ebx - 0x2c0]	lea ecx, [ebx - 0x540]	8D8B40FDFFFF	8D8BC0FAFFFF		the same span as the loop cursor's negative origin
2	0x004805E3	5	1	fogcell.sync.copy.a	mov ecx, 0x66	mov ecx, 0xbb	B966000000	B9BB000000		rep movsd count, game-start sync in 0x004805D0
2	0x004BD5A8	5	1	fogcell.sync.copy.b	mov ecx, 0x66	mov ecx, 0xbb	B966000000	B9BB000000		rep movsd count, full-redraw path in layer 5's draw 0x004BD580
2	0x00480617	6	1	fogcell.render.rowmul	imul ecx, ecx, 0x58 ; shr ebx, 3	[cave] imul ecx, ecx, 0xa8 ; shr ebx, 3	6BC958C1EB03	E90000000090	69C9A8000000C1EB03	cell row base = cellRow * stride (imul ecx,ecx,stride; shr ebx,3 rides along)
2	0x0048064C	7	1	fogcell.render.rowadv.pre	add esi, 0x58 ; dec eax ; shr eax, 3	[cave] add esi, 0xa8 ; dec eax ; shr eax, 3	83C65848C1E803	E9000000009090	81C6A800000048C1E803	pre-loop advance so [esi-stride] is the current row (dec eax; shr eax,3 ride along)
2	0x00480671	8	1	fogcell.render.k.up	movzx edx, byte ptr [esi - 0x58] ; movzx eax, byte ptr [esi - 0x57]	[cave] movzx edx, byte ptr [esi - 0xa8] ; movzx eax, byte ptr [esi - 0xa7]	0FB656A80FB646A9	E900000000909090	0FB69658FFFFFF0FB68659FFFFFF	neighborhood read: this column and the next, current row ([esi-stride], [esi-stride+1] as disp32)
2	0x004806C7	9	1	fogcell.render.rowadv	mov esi, dword ptr [ebp - 8] ; mov eax, dword ptr [ebp - 0x10] ; add esi, 0x58	[cave] mov esi, dword ptr [ebp - 8] ; mov eax, dword ptr [ebp - 0x10] ; add esi, 0xa8	8B75F88B45F083C658	E90000000090909090	8B75F88B45F081C6A8000000	advance one cell row per 8px block row (the two reloads ride along)
2	0x0048D663	4	1	placement.reject.x	cmp ax, 0x280	cmp ax, 0x500	663D8002	663D0005		0x0048D660: refuse a placement at x >= 640 (a 16-bit compare)
2	0x0048D5F2	6	1	placement.rect.right	lea edi, [ecx + 0x280]	lea edi, [ecx + 0x500]	8DB980020000	8DB900050000		0x0048D5C0's extent: right = left + 640 (new in task 034)
2	0x004814EA	9	1	layer1.park.x	mov word ptr [0x6cef66], 0x280	mov word ptr [0x6cef66], 0x500	66C70566EF6C008002	66C70566EF6C000005		parks the mask layer just off the right edge of the playfield
3	0x004D1960	5	1	mouse.clamp.cmp@004D1960	cmp si, 0x280	cmp si, 0x500	6681FE8002	6681FE0005		window-proc mouse x clamp: the 'x >= 640' decision
3	0x004D196D	4	1	mouse.clamp.x@004D196D	mov ax, 0x27f	mov ax, 0x4ff	66B87F02	66B8FF04		window-proc mouse x clamp: the replacement value 639
3	0x004D19EC	5	1	mouse.clamp.cmp@004D19EC	cmp si, 0x280	cmp si, 0x500	6681FE8002	6681FE0005		window-proc mouse x clamp: the 'x >= 640' decision
3	0x004D19F9	4	1	mouse.clamp.x@004D19F9	mov ax, 0x27f	mov ax, 0x4ff	66B87F02	66B8FF04		window-proc mouse x clamp: the replacement value 639
3	0x004D1A7C	5	1	mouse.clamp.cmp@004D1A7C	cmp si, 0x280	cmp si, 0x500	6681FE8002	6681FE0005		window-proc mouse x clamp: the 'x >= 640' decision
3	0x004D1A89	4	1	mouse.clamp.x@004D1A89	mov ax, 0x27f	mov ax, 0x4ff	66B87F02	66B8FF04		window-proc mouse x clamp: the replacement value 639
3	0x004D24E6	4	1	mouse.clamp.cmp@004D24E6	cmp ax, 0x280	cmp ax, 0x500	663D8002	663D0005		window-proc mouse x clamp: the 'x >= 640' decision
3	0x004D24EC	10	1	mouse.clamp.x@004D24EC	mov dword ptr [0x6cddc4], 0x27f	mov dword ptr [0x6cddc4], 0x4ff	C705C4DD6C007F020000	C705C4DD6C00FF040000		window-proc mouse x clamp: the replacement value 639
3	0x004D12FF	5	1	scroll.right.trigger	cmp eax, 0x27e	cmp eax, 0x4fe	3D7E020000	3DFE040000		0x004D12A0 edge-scroll: pan the camera right when mouse x >= screenW-2 (was 638; must widen with the mouse clamp or the whole right band scrolls)
3	0x00421600	7	1	cursor.clip.right	mov dword ptr [ebp - 8], 0x280	mov dword ptr [ebp - 8], 0x500	C745F880020000	C745F800050000		0x004215E0 clip-rect reset: ClientToScreen({640,480}) -> ({W,480}); ClipCursor confines the physical mouse to this, so 640 pinned the real cursor out of the right band
3	0x0049BBE6	3	1	scroll.clamp.x.tiles	sub ecx, 0x14	sub ecx, 0x28	83E914	83E928		0x0049BB90: maxScreenLeft = (mapTileW - 20) * 32 -> (mapTileW - W/32) * 32, so the playfield never extends past the map's right edge
3	0x0046FC75	5	1	click.searchrect.right	add eax, 0x280	add eax, 0x500	0580020000	0500050000		0x0046FB40: click search rect right = screenLeft + 640 -> + 800
3	0x0046FE18	5	1	click.searchrect.right.drag	add eax, 0x280	add eax, 0x500	0580020000	0500050000		0x0046FB40 drag-box arm: same rect, same widen
3	0x004D1159	6	1	console.hittest.xguard	cmp dword ptr [0x6d6430], ecx	[cave] cmp ecx, 0x280 ; jl 0x4d1164 ; xor eax, eax ; ret  ; cmp dword ptr [0x6d6430], ecx	390D30646D00	E90000000090	81F9800200007C0333C0C3390D30646D00	0x004D1140 isPointOverUi: x >= 640 (the console.pcx width) is bare playfield -- never ask the 640-wide console region about it (right-click orders and the contextual cursor beside the console)
